competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,x_a,a_minus_x_a,kp,final_third,ppa,crs_pa,prog
Fußball-Bundesliga,M,GER,2019,Freiburg,team,28,34,11490,14967,76.8,247151,85697,3709,4402,84.3,5386,6313,85.3,2207,3757,58.7,25,26.1,-1.1,291,800,218,75,931
Fußball-Bundesliga,M,GER,2019,Hannover 96,team,32,34,11428,15090,75.7,236845,89112,4148,4935,84.1,5092,6109,83.4,2025,3528,57.4,20,23.7,-3.7,269,826,228,59,1033
Fußball-Bundesliga,M,GER,2019,Hertha BSC,team,26,34,12472,16161,77.2,255193,96580,4794,5664,84.6,5433,6450,84.2,2084,3603,57.8,32,34.4,-2.4,299,916,235,74,1107
Fußball-Bundesliga,M,GER,2019,Hoffenheim,team,29,34,14499,17950,80.8,285552,102912,5640,6435,87.6,6442,7457,86.4,2232,3527,63.3,49,49.5,-0.5,450,1200,371,102,1424
Fußball-Bundesliga,M,GER,2019,Leverkusen,team,21,34,18327,22030,83.2,347484,111744,7623,8639,88.2,7899,8929,88.5,2508,3739,67.1,51,42.6,8.4,370,1261,367,93,1536
Fußball-Bundesliga,M,GER,2019,M'Gladbach,team,22,34,15778,19034,82.9,326244,98844,5114,5867,87.2,7986,8897,89.8,2539,3823,66.4,43,34.7,8.3,329,1144,308,70,1350
Fußball-Bundesliga,M,GER,2019,Mainz 05,team,28,34,11555,15264,75.7,241905,88492,4317,5125,84.2,4930,5920,83.3,2170,3766,57.6,30,32.6,-2.6,343,981,289,89,1153
Fußball-Bundesliga,M,GER,2019,Nürnberg,team,27,34,10598,14082,75.3,220798,80833,3813,4564,83.5,4873,5779,84.3,1779,3331,53.4,16,18.8,-2.8,229,763,177,44,912
Fußball-Bundesliga,M,GER,2019,RB Leipzig,team,23,34,12507,16647,75.1,231627,95135,5747,6882,83.5,4829,6085,79.4,1685,3080,54.7,41,41.8,-0.8,372,1121,365,87,1451
Fußball-Bundesliga,M,GER,2019,Schalke 04,team,32,34,10900,14430,75.5,229525,82400,3751,4570,82.1,4985,5896,84.5,2018,3532,57.1,23,26,-3,297,832,240,53,1073
